t,V,m,h,n
0.0,-65.0,0.05,0.6,0.32
0.03933187799902175,-64.62344814725988,0.050630899903509906,0.5999514500398262,0.320004198391742
0.09065999045313736,-64.14428473066752,0.0518334745777869,0.5997966980428404,0.3200718499965336
0.1539420417928659,-63.57031230285135,0.053793736041554636,0.5994651230817762,0.3202501970491029
0.23012502654696743,-62.90013436957967,0.05670404995146883,0.5988619117866282,0.3206008729139377
0.3191021578078171,-62.14024851447711,0.06069770431129977,0.5978772120892923,0.3211942580929834
0.42102075775876974,-61.2909045342118,0.06590106435085799,0.5963783895189679,0.32211251006303654
0.5354162590368663,-60.350250980563025,0.07242359955666046,0.5942184745979665,0.3234430287496813
0.6617463495254029,-59.304994821153805,0.08042652363691513,0.5912266540998583,0.32528246127784094
0.7991895282871246,-58.124626681599864,0.09018307783927126,0.5871999299518058,0.32773944964974344
0.9471453874079221,-56.74313259213322,0.1022402397494422,0.581857813336118,0.3309579157848677
1.1059575852137464,-55.01767190299541,0.11777709242152368,0.5747218422084446,0.33517846129514317
1.2814952479353132,-52.550154018928296,0.14011102383669005,0.5645473386546572,0.3410323594529451
1.4649580313009642,-48.63352315759098,0.17459655881539055,0.5497564136003846,0.3491703875177786
1.5999385119429188,-43.759617889132436,0.21525512529542473,0.5336955991964608,0.3574697047644734
1.6982508438915704,-37.80301215204914,0.26198156261584327,0.5163762922224242,0.36584066068369475
1.7778540279276787,-29.927854030907667,0.3200779840631408,0.4960069230286297,0.3752673925627448
1.834068657894336,-21.458435235249816,0.37932127143171,0.4768973780811491,0.3843531187024504
1.875769904203215,-12.895802188266073,0.43690119131321137,0.46041105830132967,0.39306293772779105
1.9089216154368853,-4.474220297532155,0.4921152946549287,0.4465008927346075,0.4015709883357997
1.9398939230641432,4.53059168460345,0.550649040153885,0.4333376840023834,0.41102038464715007
1.9673952013213285,12.974193156346221,0.6064481422006198,0.42175849883808325,0.42070979773829376
1.9958730952146415,21.37611233844674,0.6651360755668814,0.41000038715142284,0.431977236872266
2.020607350958788,27.70680486713066,0.7142536555069621,0.40002104864261634,0.44262427100110807
2.046531719102581,32.893145539172565,0.761634104417062,0.3898079074912878,0.4543999575712953
2.063294199159473,35.3844761690991,0.7893280763823306,0.3833395900294387,0.46222189072737696
2.0820773863043076,37.42659176377995,0.8173266545571403,0.376217080972882,0.4710776922899197
2.0986790902035186,38.664952138899636,0.8393773855893688,0.3700310831689625,0.4789198187431158
2.1156822916053835,39.489902995379545,0.8594337656795247,0.36380039517306495,0.4869152316129305
2.132141168869403,39.957297689663896,0.8765707322517807,0.3578688766182272,0.49458448137642963
2.148903525956818,40.18226244374814,0.8919196744070749,0.35192730151219687,0.5022984460684908
2.165829844636526,40.21994507479377,0.9054810668625902,0.3460277380283143,0.50997069931655
2.183311495852605,40.112877763972556,0.9176738061127713,0.34003854317566334,0.5177581105078194
2.2014438123829967,39.886849843097885,0.9286121933675685,0.333936138452043,0.5256797206684007
2.2204767786721646,39.55569404885942,0.9384702255390603,0.32764868649055034,0.5338181945820092
2.2405307894946844,39.126937288564086,0.9473123288584347,0.32115235353272703,0.5421937821380265
2.2616967405381048,38.60366996720245,0.9551842843908335,0.31443596411471253,0.5508099181843675
2.283883391746601,37.990599820584514,0.9620822679554196,0.30754702037798437,0.559594663432832
2.3068683449229477,37.29569222173514,0.9680110386016686,0.3005700541590305,0.5684303859625754
2.3303743121068554,36.52958251945488,0.9730137656273149,0.2935994467914974,0.5771900047762666
2.3541884872386243,35.70210678710628,0.9771809731719692,0.28670322827858036,0.585783096459049
2.3781680698143735,34.82152848118473,0.9806234090923076,0.27992384235202944,0.5941540588792967
2.4022281525783025,33.89443056287832,0.9834524174109565,0.2732839914046925,0.6022738062698467
2.4263180550661114,32.926237924525694,0.9857687399503816,0.2667950074917437,0.6101286078923227
2.4504105551842863,31.92144009717359,0.9876593060283709,0.26046086212511366,0.6177146178528942
2.4744924747750527,30.88385791533106,0.9891969610917787,0.2542813581385579,0.6250336160086536
2.4985600002978177,29.81677952121286,0.9904418072067953,0.24825375385159773,0.6320907982226273
2.522614780852474,28.723098496273725,0.9914429171277943,0.24237400113709637,0.63889313134438
2.546661685095475,27.605402204794636,0.9922401078882824,0.23663743630480627,0.6454484297272143
2.57070703608889,26.46605135873466,0.9928655357626303,0.23103927358008158,0.6517647131995733
2.59475750451845,25.30723670275713,0.9933450741349165,0.22557488614930002,0.6578498461975023
2.6188192809958744,24.131026096958173,0.9936994610201983,0.22023998790828345,0.6637113142432018
2.642897526716337,22.939399634425847,0.9939452412869383,0.2150307293816764,0.6693561134133227
2.666995971851938,21.734277521479598,0.9940955316218032,0.20994374715747527,0.6747907020187465
2.691116636303887,20.517541131419023,0.9941606390324951,0.20497617841420834,0.6800209971843298
2.7152595998411364,19.291050431496625,0.9941485602294176,0.2001256600108733,0.6850523921624833
2.739422821548646,18.056657639960793,0.9940653860262814,0.19539031424393985,0.6898897901792683
2.7636019610640656,16.81621950247279,0.9939156307548477,0.19076873216634654,0.694537642100056
